coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,main_temp_celsius,main_temp_fahrenheit,main_feels_like_celsius,main_feels_like_fahrenheit,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,sys_sunrise_time,timezone,id,name,cod
72.8479,19.0144,721,Haze,haze,50n,stations,301.14,305.69,301.14,301.14,1006,83,1006,1005,27.99000000000001,82.38200000000002,32.54000000000002,90.57200000000003,2500,4.63,250,75,1722448476,1,9052,IN,1722386709,1722433480,2024-07-31T06:15:09,19800,1275339,Mumbai,200
77.2167,28.6667,201,Thunderstorm,thunderstorm with rain,11n,stations,299.2,299.2,299.2,299.2,1000,94,1000,975,26.05000000000001,78.89000000000001,26.05000000000001,78.89000000000001,2500,4.12,190,100,1722448200,1,9165,IN,1722384716,1722433376,2024-07-31T05:41:56,19800,1273294,Delhi,200
77.6033,12.9762,803,Clouds,broken clouds,04n,stations,294.35,294.95,293.88,294.95,1011,93,1011,910,21.200000000000045,70.16000000000008,21.80000000000001,71.24000000000002,6000,5.14,240,75,1722448515,1,9205,IN,1722386094,1722431813,2024-07-31T06:04:54,19800,1277333,Bengaluru,200
78.4744,17.3753,721,Haze,haze,50n,stations,298.88,299.55,298.88,298.88,1006,78,1006,950,25.730000000000018,78.31400000000004,26.400000000000034,79.52000000000007,5000,4.12,250,75,1722448144,1,9213,IN,1722385505,1722431984,2024-07-31T05:55:05,19800,1269843,Hyderabad,200
72.6167,23.0333,701,Mist,mist,50n,stations,300.17,303.84,300.17,300.17,1002,89,1002,996,27.02000000000004,80.63600000000008,30.689999999999998,87.24199999999999,2500,1.54,230,40,1722448617,1,9049,IN,1722386390,1722433910,2024-07-31T06:09:50,19800,1279233,Ahmedabad,200
80.2785,13.0878,701,Mist,mist,50n,stations,304.25,311.25,303.84,304.31,1006,74,1006,1005,31.100000000000023,87.98000000000005,38.10000000000002,100.58000000000004,5000,6.69,210,75,1722448333,2,2093220,IN,1722385442,1722431180,2024-07-31T05:54:02,19800,1264527,Chennai,200
88.3697,22.5697,804,Clouds,overcast clouds,04n,stations,301.12,307.51,301.12,301.12,999,94,999,998,27.970000000000027,82.34600000000006,34.360000000000014,93.84800000000003,2800,0,0,100,1722448526,1,9114,IN,1722382653,1722430086,2024-07-31T05:07:33,19800,1275004,Kolkata,200
72.8333,21.1667,721,Haze,haze,50n,stations,301.14,306.69,301.14,301.14,1004,89,1004,1003,27.99000000000001,82.38200000000002,33.54000000000002,92.37200000000004,5000,4.63,240,40,1722448460,1,9071,IN,1722386515,1722433681,2024-07-31T06:11:55,19800,1255364,Surat,200
73.8553,18.5196,804,Clouds,overcast clouds,04n,stations,297.36,298.24,297.36,297.36,1008,92,1008,946,24.210000000000036,75.57800000000006,25.090000000000032,77.16200000000006,4661,2.62,247,100,1722448519,2,2091523,IN,1722386512,1722433194,2024-07-31T06:11:52,19800,1259229,Pune,200
75.8167,26.9167,701,Mist,mist,50n,stations,302.77,309.77,302.77,302.77,999,89,999,950,29.620000000000005,85.316,36.620000000000005,97.91600000000001,3000,2.06,40,75,1722448618,1,9170,IN,1722385236,1722433529,2024-07-31T05:50:36,19800,1269515,Jaipur,200
80.9167,26.85,701,Mist,mist,50n,stations,300.14,303.75,300.14,300.14,1000,89,1000,986,26.99000000000001,80.58200000000002,30.600000000000023,87.08000000000004,5000,1.03,0,40,1722448459,1,9176,IN,1722384018,1722432298,2024-07-31T05:30:18,19800,1264733,Lucknow,200
80.35,26.4667,804,Clouds,overcast clouds,04n,stations,304.7,310.35,304.7,304.7,1000,64,1000,985,31.55000000000001,88.79000000000002,37.200000000000045,98.96000000000008,10000,3.84,114,100,1722448565,,,IN,1722384193,1722432395,2024-07-31T05:33:13,19800,1267995,Kanpur,200
79.1,21.15,721,Haze,haze,50n,stations,300.16,304.35,300.16,300.16,1003,94,1003,968,27.010000000000048,80.61800000000008,31.200000000000045,88.16000000000008,3000,1.03,260,100,1722448522,1,9069,IN,1722385012,1722432176,2024-07-31T05:46:52,19800,1262180,Nagpur,200
